Time	Altitude	Temperature	Voltage
34.05	3884	87.6F	9.4
34.1	3879	87.5F	9.4
34.15	3874	87.6F	9.4
34.2	3873	87.6F	9.4
34.25	3874	87.6F	9.4
34.3	3879	87.6F	9.4
34.35	3879	87.6F	9.4
34.4	3873	87.6F	9.4
34.45	3866	87.6F	9.4
34.5	3864	87.6F	9.4
34.55	3862	87.6F	9.4
34.6	3857	87.5F	9.4
34.65	3855	87.6F	9.4
34.7	3854	87.6F	9.4
34.75	3846	87.6F	9.4
34.8	3845	87.6F	9.4
34.85	3840	87.5F	9.4
34.9	3841	87.5F	9.4
34.95	3841	87.5F	9.4
35	3839	87.5F	9.4
35.05	3836	87.5F	9.4
35.1	3828	87.5F	9.4
35.15	3822	87.5F	9.4
35.2	3816	87.5F	9.4
35.25	3809	87.5F	9.4
35.3	3803	87.5F	9.4
35.35	3799	87.5F	9.4
35.4	3794	87.5F	9.4
35.45	3789	87.5F	9.4
35.5	3785	87.5F	9.4
35.55	3781	87.5F	9.4
35.6	3777	87.5F	9.4
35.65	3774	87.5F	9.4
35.7	3769	87.5F	9.4
35.75	3765	87.5F	9.4
35.8	3762	87.5F	9.4
35.85	3759	87.5F	9.4
35.9	3756	87.5F	9.4
35.95	3753	87.5F	9.4
36	3749	87.5F	9.4
36.05	3744	87.5F	9.4
36.1	3742	87.5F	9.4
36.15	3740	87.5F	9.4
36.2	3738	87.5F	9.4
36.25	3737	87.5F	9.4
36.3	3739	87.5F	9.4
36.35	3740	87.5F	9.4
36.4	3738	87.5F	9.4
36.45	3734	87.5F	9.4
36.5	3734	87.5F	9.4
36.55	3733	87.5F	9.4
36.6	3729	87.5F	9.4
36.65	3724	87.5F	9.4
36.7	3718	87.5F	9.4
36.75	3714	87.5F	9.4
36.8	3712	87.5F	9.4
36.85	3706	87.5F	9.4
36.9	3701	87.5F	9.4
36.95	3694	87.5F	9.4
37	3692	87.5F	9.4
37.05	3685	87.5F	9.4
37.1	3682	87.5F	9.4
37.15	3678	87.5F	9.4
37.2	3673	87.5F	9.4
37.25	3668	87.5F	9.4
37.3	3667	87.5F	9.4
37.35	3663	87.5F	9.4
37.4	3660	87.5F	9.4
37.45	3656	87.5F	9.4
37.5	3654	87.5F	9.4
37.55	3651	87.5F	9.4
37.6	3647	87.5F	9.4
37.65	3645	87.5F	9.4
37.7	3641	87.5F	9.4
37.75	3636	87.5F	9.4
37.8	3635	87.5F	9.4
37.85	3633	87.5F	9.4
37.9	3630	87.5F	9.4
37.95	3628	87.5F	9.4
38	3626	87.5F	9.4
38.05	3626	87.5F	9.4
38.1	3625	87.5F	9.4
38.15	3621	87.5F	9.4
38.2	3617	87.5F	9.4
38.25	3611	87.5F	9.4
38.3	3601	87.5F	9.4
38.35	3596	87.5F	9.4
38.4	3587	87.5F	9.4
38.45	3584	87.5F	9.4
38.5	3579	87.5F	9.4
38.55	3575	87.5F	9.4
38.6	3572	87.5F	9.4
38.65	3571	87.5F	9.4
38.7	3568	87.5F	9.4
